T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9961616    0.030648138     0.52398990   0.0037309968     0.99873737
      1.0000000     -1.9962000    0.030342240     0.50875000   0.0036937500     0.99875000
      1.0000000     -1.9962376    0.030042388     0.49381188   0.0036572395     0.99876238
      1.0000000     -1.9962745    0.029748404     0.47916667   0.0036214437     0.99877451
      1.0000000     -1.9963107    0.029460119     0.46480583   0.0035863418     0.99878641
      1.0000000     -1.9963462    0.029177367     0.45072115   0.0035519138     0.99879808
      1.0000000     -1.9963810    0.028899991     0.43690476   0.0035181406     0.99880952
      1.0000000     -1.9964151    0.028627839     0.42334906   0.0034850036     0.99882075
      1.0000000     -1.9964486    0.028360765     0.41004673   0.0034524849     0.99883178
      1.0000000     -1.9964815    0.028098628     0.39699074   0.0034205676     0.99884259
      1.0000000     -1.9965138    0.027841293     0.38417431   0.0033892349     0.99885321
      1.0000000     -1.9965455    0.027588628     0.37159091   0.0033584711     0.99886364
      1.0000000     -1.9965766    0.027340508     0.35923423   0.0033282607     0.99887387
      1.0000000     -1.9966071    0.027096811     0.34709821   0.0032985890     0.99888393
      1.0000000     -1.9966372    0.026857420     0.33517699   0.0032694416     0.99889381
      1.0000000     -1.9966667    0.026622222     0.32346491   0.0032408049     0.99890351
      1.0000000     -1.9966957    0.026391108     0.31195652   0.0032126654     0.99891304
      1.0000000     -1.9967241    0.026163971     0.30064655   0.0031850104     0.99892241
      1.0000000     -1.9967521    0.025940712     0.28952991   0.0031578275     0.99893162
      1.0000000     -1.9967797    0.025721230     0.27860169   0.0031311046     0.99894068
      1.0000000     -1.9968067    0.025505430     0.26785714   0.0031048302     0.99894958
      1.0000000     -1.9968333    0.025293222     0.25729167   0.0030789931     0.99895833
      1.0000000     -1.9968595    0.025084516     0.24690083   0.0030535824     0.99896694
      1.0000000     -1.9968852    0.024879226     0.23668033   0.0030285877     0.99897541
      1.0000000     -1.9969106    0.024677269     0.22662602   0.0030039989     0.99898374
      1.0000000     -1.9961290    0.030907804     0.22669355   0.0038643080     0.99870968
      1.0000000     -1.9961600    0.030661018     0.23288000   0.0038334464     0.99872000
      1.0000000     -1.9961905    0.030418141     0.23896825   0.0038030738     0.99873016
      1.0000000     -1.9962205    0.030179081     0.24496063   0.0037731787     0.99874016
