T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9962090    0.030270870    -0.17928731   0.0039709062     0.99870522
      1.0000000     -1.9961926    0.030401274    -0.18533704   0.0039858326     0.99870000
      1.0000000     -1.9962059    0.030295360    -0.19131985   0.0039859100     0.99870221
      1.0000000     -1.9962044    0.030307337    -0.19609854   0.0040151074     0.99869708
      1.0000000     -1.9961594    0.030665637    -0.19054710   0.0040438055     0.99868478
      1.0000000     -1.9960719    0.031362742    -0.18434173   0.0041581893     0.99865108
      1.0000000     -1.9960714    0.031366837    -0.17703571   0.0041641386     0.99865000
      1.0000000     -1.9960993    0.031144812    -0.18287234   0.0041346570     0.99865957
      1.0000000     -1.9960563    0.031487086    -0.18860211   0.0041827899     0.99864437
      1.0000000     -1.9960839    0.031267328    -0.19427622   0.0041535906     0.99865385
      1.0000000     -1.9960694    0.031382647    -0.19840278   0.0041455177     0.99865278
      1.0000000     -1.9960552    0.031496374    -0.19147931   0.0041788609     0.99864483
      1.0000000     -1.9960685    0.031390228    -0.19441096   0.0041571010     0.99865068
      1.0000000     -1.9960680    0.031393941    -0.18852721   0.0041627744     0.99864966
      1.0000000     -1.9960811    0.031289920    -0.18050000   0.0041414169     0.99865541
      1.0000000     -1.9961074    0.031080330    -0.17257718   0.0041136704     0.99866443
      1.0000000     -1.9961200    0.030979782    -0.17519333   0.0041128889     0.99866667
      1.0000000     -1.9961192    0.030986115    -0.18003974   0.0040988727     0.99866887
      1.0000000     -1.9961053    0.031097219    -0.18451645   0.0040915848     0.99866776
      1.0000000     -1.9961307    0.030894363    -0.18984641   0.0040648885     0.99867647
      1.0000000     -1.9961169    0.031004621    -0.18531169   0.0040968081     0.99866883
      1.0000000     -1.9961290    0.030907804    -0.19056452   0.0040768399     0.99867419
      1.0000000     -1.9961410    0.030812228    -0.19369872   0.0040571275     0.99867949
      1.0000000     -1.9961529    0.030717868    -0.18609873   0.0040376661     0.99868471
      1.0000000     -1.9961772    0.030523824    -0.17859177   0.0040121547     0.99869304
      1.0000000     -1.9962013    0.030332215    -0.17117925   0.0039869638     0.99870126
      1.0000000     -1.9962125    0.030242619    -0.16386875   0.0039683048     0.99870625
      1.0000000     -1.9962360    0.030055131    -0.15919876   0.0039436983     0.99871429
      1.0000000     -1.9962469    0.029968349    -0.16438580   0.0039255363     0.99871914
      1.0000000     -1.9962331    0.030078212    -0.16950000   0.0039381775     0.99871472
      1.0000000     -1.9962439    0.029992347    -0.17028963   0.0039385321     0.99871646
      1.0000000     -1.9962667    0.029810916    -0.16319697   0.0039147019     0.99872424
      1.0000000     -1.9962771    0.029727693    -0.15619277   0.0038971518     0.99872892
      1.0000000     -1.9962994    0.029550013    -0.14926946   0.0038738541     0.99873653
      1.0000000     -1.9963214    0.029374444    -0.14242857   0.0038508332     0.99874405
      1.0000000     -1.9962959    0.029578253    -0.14573373   0.0038870773     0.99873373
      1.0000000     -1.9963059    0.029498355    -0.14135000   0.0038701024     0.99873824
      1.0000000     -1.9963041    0.029512613    -0.14636550   0.0038591443     0.99873977
      1.0000000     -1.9963256    0.029341343    -0.15132849   0.0038367442     0.99874709
      1.0000000     -1.9963468    0.029172051    -0.15623410   0.0038146025     0.99875434
      1.0000000     -1.9963333    0.029279556    -0.16054023   0.0038098707     0.99875287
      1.0000000     -1.9962857    0.029659102    -0.15947143   0.0038735919     0.99873429
      1.0000000     -1.9962500    0.029943750    -0.16195739   0.0038969008     0.99872443
      1.0000000     -1.9962486    0.029955007    -0.16399153   0.0039200035     0.99872034
      1.0000000     -1.9962697    0.029787035    -0.15745225   0.0038980176     0.99872753
      1.0000000     -1.9962793    0.029709990    -0.15099162   0.0038985667     0.99872905
      1.0000000     -1.9962889    0.029633800    -0.14460278   0.0038991096     0.99873056
      1.0000000     -1.9962652    0.029822658    -0.14353039   0.0039492294     0.99871823
      1.0000000     -1.9962637    0.029834271    -0.14822527   0.0039384991     0.99871978
      1.0000000     -1.9962514    0.029932862    -0.14384973   0.0039333226     0.99871858
      1.0000000     -1.9962717    0.029770487    -0.13763315   0.0039119813     0.99872554
      1.0000000     -1.9962919    0.029609865    -0.13148378   0.0038908704     0.99873243
      1.0000000     -1.9962903    0.029622373    -0.12619086   0.0038806844     0.99873387
      1.0000000     -1.9962781    0.029719990    -0.12552941   0.0038759279     0.99873262
      1.0000000     -1.9962553    0.029901356    -0.12018617   0.0039083748     0.99872340
      1.0000000     -1.9962116    0.030249472    -0.11470635   0.0039351595     0.99871164
      1.0000000     -1.9962316    0.030090564    -0.10883947   0.0039144829     0.99871842
      1.0000000     -1.9962513    0.029933318    -0.10303403   0.0038940224     0.99872513
      1.0000000     -1.9962708    0.029777707   -0.097289062   0.0038737747     0.99873177
